iter	RMSE
0	37.93281181
1	37.6056282
2	37.26874549
3	36.94643568
4	36.6240229
5	36.30736354
6	35.98616304
7	35.67643598
8	35.37041489
9	35.05829351
10	34.76191518
11	34.45611193
12	34.15923807
13	33.86840197
14	33.58275647
15	33.29791777
16	33.02739034
17	32.75443799
18	32.4782153
19	32.20105771
20	31.92806928
21	31.66470552
22	31.39983956
23	31.13516756
24	30.87536695
25	30.62500175
26	30.36158024
27	30.11121873
28	29.86174999
29	29.61463122
30	29.37256209
31	29.12893744
32	28.88761237
33	28.64014138
34	28.40366661
35	28.17334643
36	27.96116847
37	27.73520646
38	27.5094216
39	27.27941145
40	27.04795161
41	26.83219601
42	26.61602201
43	26.40241744
44	26.17848072
45	25.959195
46	25.75256626
47	25.5613254
48	25.35911573
49	25.15995886
50	24.95947627
51	24.77910527
52	24.58281085
53	24.39052336
54	24.21847999
55	24.02227815
56	23.83598715
57	23.65301139
58	23.47186952
59	23.28811802
60	23.10848698
61	22.93191186
62	22.77065385
63	22.59238419
64	22.42055858
65	22.25240203
66	22.07668543
67	21.90935791
68	21.75608125
69	21.58822662
70	21.42280312
71	21.26360877
72	21.10788866
73	20.94346616
74	20.79104638
75	20.63977725
76	20.48988869
77	20.34159675
78	20.19670775
79	20.04489955
80	19.90216378
81	19.76021115
82	19.62046118
83	19.47451765
84	19.33800687
85	19.19618811
86	19.06164244
87	18.92723415
88	18.79093043
89	18.6643812
90	18.53632405
91	18.40963689
92	18.27570617
93	18.1561511
94	18.02874513
95	17.89924189
96	17.77841426
97	17.66709734
98	17.54958259
99	17.43514869
100	17.31536854
101	17.20154229
102	17.08899746
103	16.97719417
104	16.86661472
105	16.75919911
106	16.65262512
107	16.54018015
108	16.43297696
109	16.33035272
110	16.22944479
111	16.13363802
112	16.03323223
113	15.92942238
114	15.83084603
115	15.73428656
116	15.63040398
117	15.53658038
118	15.4415469
119	15.34937063
120	15.25467818
121	15.16398222
122	15.07126462
123	14.98468361
124	14.89945485
125	14.80707146
126	14.72091622
127	14.63438142
128	14.54938534
129	14.46834223
130	14.39429333
131	14.32104199
132	14.23753443
133	14.15926891
134	14.0758724
135	13.99938615
136	13.91818314
137	13.85047719
138	13.77284965
139	13.69465435
140	13.62334278
141	13.55146887
142	13.47761517
143	13.40266095
144	13.3386236
145	13.27222243
146	13.20728664
147	13.14330234
148	13.07759939
149	13.01278493
150	12.94400407
151	12.87964879
152	12.81406704
153	12.75187853
154	12.69076773
155	12.63185825
156	12.57443521
157	12.51619431
158	12.45846852
159	12.40122933
160	12.34245256
161	12.28712094
162	12.23222507
163	12.17828189
164	12.12027771
165	12.06898141
166	12.01673448
167	11.965881
168	11.91070323
169	11.86239721
170	11.81414687
171	11.76640698
172	11.72234456
173	11.67535785
174	11.62538327
175	11.57804155
176	11.53304961
177	11.48548044
178	11.4443045
179	11.40467656
180	11.3627538
181	11.31559345
182	11.27356742
183	11.23661092
184	11.19576479
185	11.15527592
186	11.11571827
187	11.07713215
188	11.03833103
189	11.00133423
190	10.96261613
191	10.92779136
192	10.89338256
193	10.85830894
194	10.82346743
195	10.78779297
196	10.75289766
197	10.71943318
198	10.68645531
199	10.65389698
200	10.61836926
201	10.58260655
202	10.54850752
203	10.51552926
204	10.48755629
205	10.45976172
206	10.42964078
207	10.39934768
208	10.36950913
209	10.34383542
210	10.31859157
211	10.28881735
212	10.25918881
213	10.23233145
214	10.20528034
215	10.18065188
216	10.15730313
217	10.1309565
218	10.10585487
