iter	Passed	Remaining
0	6	6161
1	11	5000
2	14	4230
3	17	3823
4	19	3570
5	22	3400
6	25	3223
7	27	3105
8	30	3020
9	34	3037
10	36	2975
11	39	2911
12	41	2864
13	44	2823
14	47	2784
15	49	2748
16	52	2737
17	55	2711
18	58	2708
19	60	2681
20	63	2657
21	66	2640
22	69	2647
23	71	2626
24	74	2604
25	76	2585
26	79	2562
27	81	2547
28	84	2526
29	86	2513
30	89	2496
31	91	2479
32	93	2466
33	96	2450
34	98	2438
35	101	2435
36	103	2425
37	106	2412
38	108	2398
39	111	2387
40	113	2383
41	116	2374
42	118	2365
43	121	2357
44	123	2347
45	125	2334
46	127	2322
47	130	2308
48	132	2298
49	134	2284
50	136	2273
51	138	2260
52	140	2248
53	142	2238
54	145	2228
55	147	2219
56	149	2208
57	151	2199
58	153	2189
59	155	2181
60	157	2170
61	159	2159
62	161	2148
63	163	2138
64	165	2127
65	167	2121
66	169	2112
67	172	2109
68	174	2106
69	177	2104
70	179	2098
71	181	2091
72	183	2083
73	186	2081
74	188	2075
75	191	2072
76	193	2068
77	196	2068
78	198	2065
79	201	2064
80	204	2063
81	206	2060
82	209	2060
83	211	2055
84	213	2047
85	215	2041
86	217	2036
87	220	2031
88	222	2026
89	224	2021
90	226	2014
91	228	2009
92	230	2003
93	233	1999
94	235	1995
95	237	1992
96	240	1988
97	242	1982
98	244	1976
99	246	1970
100	248	1965
101	250	1961
102	252	1956
103	254	1951
104	257	1945
105	259	1940
106	261	1935
107	263	1930
108	265	1925
109	267	1920
110	269	1915
111	271	1910
112	273	1906
113	275	1900
114	277	1895
115	279	1891
116	282	1889
117	284	1887
118	287	1884
119	289	1881
120	292	1880
121	293	1874
122	296	1873
123	298	1869
124	300	1864
125	302	1859
126	305	1857
127	307	1852
128	309	1848
129	311	1845
130	313	1840
131	315	1836
132	317	1832
133	319	1827
134	321	1822
135	323	1819
136	326	1815
137	328	1812
138	330	1808
139	332	1803
140	334	1799
141	336	1795
142	338	1791
143	340	1788
144	342	1784
145	344	1780
146	346	1777
147	348	1773
148	350	1768
149	353	1765
150	355	1762
151	357	1759
152	359	1757
153	362	1755
154	364	1753
155	367	1750
156	369	1748
157	371	1744
158	373	1741
159	375	1737
160	377	1734
161	379	1730
162	382	1727
163	384	1724
164	386	1723
165	389	1720
166	391	1718
167	393	1715
168	395	1711
169	398	1709
170	400	1705
171	402	1702
172	404	1698
173	406	1695
174	408	1692
175	410	1688
176	412	1685
177	414	1682
178	416	1679
179	419	1676
180	421	1673
181	423	1669
182	425	1666
183	427	1663
184	429	1660
185	431	1656
186	433	1653
187	435	1650
188	437	1646
189	439	1643
190	441	1639
191	444	1638
192	446	1634
193	448	1631
194	450	1628
195	452	1625
196	454	1622
197	456	1619
198	458	1616
199	460	1612
200	462	1609
201	465	1606
202	467	1604
203	469	1601
204	471	1599
205	473	1596
206	475	1593
207	477	1590
208	479	1586
209	482	1583
210	484	1580
211	486	1577
212	488	1574
213	490	1572
214	492	1568
215	494	1566
216	496	1563
217	498	1560
218	501	1558
219	503	1555
220	505	1552
221	507	1549
222	509	1546
223	511	1542
224	513	1539
225	515	1536
226	517	1534
227	519	1532
228	521	1529
229	523	1525
230	525	1522
231	527	1519
232	529	1516
233	531	1513
234	533	1510
235	535	1508
236	538	1505
237	540	1502
238	542	1499
239	544	1496
240	546	1493
241	548	1491
242	550	1489
243	553	1487
244	555	1485
245	557	1482
246	559	1479
247	561	1477
248	563	1474
249	565	1471
250	568	1468
251	570	1466
252	572	1463
253	574	1461
254	576	1458
255	578	1456
256	581	1453
257	583	1451
258	585	1448
259	587	1446
260	589	1443
261	591	1440
262	593	1438
263	596	1436
264	598	1433
265	600	1430
266	602	1427
267	604	1425
268	606	1423
269	608	1420
270	611	1418
271	613	1415
272	615	1413
273	617	1410
274	619	1408
275	621	1406
276	624	1403
277	626	1401
278	628	1398
279	630	1396
280	632	1393
281	634	1390
282	636	1387
283	638	1385
284	641	1383
285	643	1381
286	645	1378
287	648	1377
288	650	1374
289	652	1372
290	654	1370
291	657	1369
292	659	1366
293	662	1365
294	664	1363
295	667	1361
296	669	1359
297	671	1356
298	673	1354
299	675	1351
300	678	1349
301	679	1346
302	682	1343
303	684	1341
304	686	1339
305	688	1336
306	690	1334
307	692	1331
308	694	1329
309	697	1326
310	699	1324
311	701	1321
312	703	1319
313	706	1317
314	708	1315
315	710	1313
316	713	1311
317	715	1309
318	717	1306
319	719	1304
320	721	1301
321	723	1299
322	725	1296
323	728	1294
324	730	1291
325	732	1289
326	734	1287
327	736	1284
328	738	1282
329	740	1279
330	742	1277
331	745	1274
332	747	1272
333	749	1269
334	751	1267
335	754	1265
